,source,target,numVisited,pathLength,uniqueVisited,performance
0,1344566969.0,1580034817.0,19,4,16,0.7894736842105263
1,1580035065.0,1580035137.0,13,10,12,0.23076923076923073
2,1580034900.0,1580035061.0,36,10,31,0.7222222222222222
3,444336014.0,1580034875.0,18,13,17,0.2777777777777778
4,1344566966.0,1580034918.0,7,3,6,0.5714285714285714
5,1580035042.0,1580035198.0,9,5,8,0.4444444444444444
6,3994361361.0,3994361363.0,2,2,2,0.0
7,1580034888.0,1580035240.0,22,6,19,0.7272727272727273
8,444336014.0,1580035031.0,6,5,5,0.16666666666666663
9,1580034899.0,1580035031.0,18,8,17,0.5555555555555556
10,1344566973.0,3994361363.0,18,5,16,0.7222222222222222
11,1580035021.0,3994361363.0,4,3,4,0.25
12,1580034817.0,3994361361.0,31,8,25,0.7419354838709677
13,444336013.0,1580034964.0,27,7,24,0.7407407407407407
14,1344566974.0,1580034918.0,19,7,19,0.631578947368421
15,1580035284.0,1580035728.0,8,5,7,0.375
16,1344566974.0,1580035175.0,8,8,8,0.0
17,444336013.0,1580035137.0,14,9,14,0.3571428571428571
18,1580035728.0,3994361361.0,26,7,20,0.7307692307692308
19,1344566973.0,6051095782.0,69,12,44,0.8260869565217391
20,1580035042.0,6051095781.0,13,5,11,0.6153846153846154
21,1580034886.0,1580034900.0,16,6,14,0.625
22,1580034884.0,1580034905.0,3,3,3,0.0
23,1580034896.0,1580034967.0,10,5,9,0.5
24,1580034694.0,1580035350.0,12,7,12,0.41666666666666663
25,1580034918.0,1580035688.0,3,3,3,0.0
26,1580034964.0,1580034967.0,2,2,2,0.0
27,444336009.0,1344566969.0,15,9,15,0.4
28,1580034817.0,3249304309.0,68,14,42,0.7941176470588236
29,444336013.0,1580034737.0,29,14,28,0.5172413793103448
30,1580034913.0,3249304308.0,88,10,45,0.8863636363636364
31,1580034694.0,1580034913.0,19,8,14,0.5789473684210527
32,1580034888.0,1580035175.0,12,6,10,0.5
33,1580034883.0,1580035042.0,36,11,31,0.6944444444444444
34,1580035021.0,3994361361.0,2,2,2,0.0
35,1344566974.0,1580034817.0,24,8,23,0.6666666666666667
36,1580035031.0,1580035350.0,6,4,6,0.33333333333333337
37,1580034694.0,1580034883.0,6,5,6,0.16666666666666663
